id,Start time,Completion time,Email,Name,consent,dept,role,tenure,copilot_access,genai_use,copilot_use,prior_training,Task Fit.My work includes tasks for which Microsoft Copilot could be useful.,Voluntariness.Using Microsoft Copilot in my work would be mostly voluntary rather than required.,age,gender,TR1,TR2,TR3,TR4,IU1,IU2,IU3,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,SI1,SI2,FC1,FC2,attention_check,newsletter_read,workshop_attended,MC1,MC2,MC3,MC4,license_intent,"What, if anything, changed in how you think about or use Copilot after the project activities?
",attention_check_num,TR_comp,IU_comp,PU_comp,PEOU_comp,SI_comp,FC_comp,wave,dept_std,age_std
2,2026-05-20T15:59:11Z,2026-05-20T16:01:22Z,anonymous,NA,"Yes, I agree",Finance,Manager,3-7 Years,Yes,Never,Often,No,5 - Somewhat agree,5 - Somewhat agree,35-44,Female,6,6,6,5,7,7,7,7,7,6,5,4,6,4,4,5,5,5 - Somewhat agree,Yes,Yes,7,7,7,7,Yes,NA,5,5.75,7,6.666666666666667,5,4,5,1,Finance,35-44
3,2026-05-20T15:59:10Z,2026-05-20T16:03:37Z,anonymous,NA,"Yes, I agree",Operational Excellence,Specialist,3-7 Years,Yes,Often,Often,No,6 - Agree,6 - Agree,Under 25,Female,6,6,4,6,6,6,6,5,6,5,6,6,6,6,6,7,6,5 - Somewhat agree,Yes,Yes,7,3,7,6,Yes,"That there are 2 versions, web and work",5,5.5,6,5.333333333333333,6,6,6.5,1,Other,Under 35
4,2026-05-20T15:59:15Z,2026-05-20T16:04:14Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,No,Often,Never,Yes,7 - Strongly agree,4 - Neither agree nor disagree,25-34,Female,6,4,4,6,7,6,7,6,7,6,6,6,6,6,6,6,6,5 - Somewhat agree,No,Yes,6,2,6,6,Yes,NA,5,5,6.666666666666667,6.333333333333333,6,6,6,1,Sales,Under 35
5,2026-05-20T16:00:12Z,2026-05-20T16:04:21Z,anonymous,NA,"Yes, I agree",IT,Specialist,7+ Years,Yes,Sometimes,Often,No,6 - Agree,6 - Agree,25-34,Male,6,5,5,6,6,6,7,6,7,7,6,6,6,3,6,6,5,5 - Somewhat agree,Yes,Yes,7,2,6,6,I already have a Copilot License,NA,5,5.5,6.333333333333333,6.666666666666667,6,4.5,5.5,1,IT,Under 35
6,2026-05-20T16:00:14Z,2026-05-20T16:06:29Z,anonymous,NA,"Yes, I agree",Finance,Employee,7+ Years,Yes,Often,Often,Yes,6 - Agree,5 - Somewhat agree,55+,Female,5,5,5,5,6,6,6,4,4,4,6,6,6,4,5,6,5,5 - Somewhat agree,Yes,Yes,6,5,5,6,No,NA,5,5,6,4,6,4.5,5.5,1,Finance,55+
7,2026-05-20T15:59:15Z,2026-05-20T16:06:40Z,anonymous,NA,"Yes, I agree",Sales,Specialist,7+ Years,Yes,All the time,Never,No,7 - Strongly agree,6 - Agree,45-54,Male,4,6,4,4,6,7,6,5,7,6,7,7,6,6,6,6,4,5 - Somewhat agree,No,Yes,6,3,7,7,Yes,A greater potential to support my work.,5,4.5,6.333333333333333,6,6.666666666666667,6,5,1,Sales,45-54
8,2026-05-20T15:59:19Z,2026-05-20T16:06:50Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,Yes,All the time,All the time,No,7 - Strongly agree,2 - Disagree,55+,Male,6,6,6,7,7,7,7,7,7,7,6,7,7,4,4,6,5,5 - Somewhat agree,Yes,Yes,7,6,7,6,Yes,"Security, and ensuring people work with it in a safe environment",5,6.25,7,7,6.666666666666667,4,5.5,1,Sales,55+
9,2026-05-20T16:02:25Z,2026-05-20T16:07:05Z,anonymous,NA,"Yes, I agree",Finance,Employee,0-2 Years,Yes,Sometimes,All the time,Yes,6 - Agree,7 - Strongly agree,25-34,Female,6,5,5,7,7,7,7,5,5,5,7,7,7,4,6,7,7,5 - Somewhat agree,No,Yes,6,6,7,5,I already have a Copilot License,NA,5,5.75,7,5,7,5,7,1,Finance,Under 35
11,2026-05-20T16:05:18Z,2026-05-20T16:08:00Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,Yes,Sometimes,Never,No,7 - Strongly agree,5 - Somewhat agree,45-54,Male,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,5 - Somewhat agree,Yes,Yes,6,2,6,6,Yes,NA,5,6,6,6,6,4,6,1,Sales,45-54
12,2026-05-20T15:59:28Z,2026-05-20T16:08:25Z,anonymous,NA,"Yes, I agree",Sales,Specialist,7+ Years,Yes,Sometimes,Sometimes,No,6 - Agree,6 - Agree,35-44,Female,5,5,5,5,5,5,5,6,6,6,6,6,6,5,5,5,5,5 - Somewhat agree,Yes,Yes,6,5,6,5,Yes,NA,5,5,5,6,6,5,5,1,Sales,35-44
13,2026-05-20T16:02:50Z,2026-05-20T16:08:31Z,anonymous,NA,"Yes, I agree",Sales,Manager,3-7 Years,Yes,Often,Often,No,6 - Agree,6 - Agree,55+,Male,6,5,5,6,6,6,6,6,6,6,6,6,6,4,6,6,5,5 - Somewhat agree,No,Yes,6,2,6,6,Yes,NA,5,5.5,6,6,6,5,5.5,1,Sales,55+
14,2026-05-20T16:00:19Z,2026-05-20T16:09:54Z,anonymous,NA,"Yes, I agree",Finance,Specialist,7+ Years,Yes,Sometimes,Sometimes,Yes,5 - Somewhat agree,5 - Somewhat agree,45-54,Female,5,5,4,6,5,5,6,5,6,6,6,5,5,5,5,6,6,5 - Somewhat agree,Yes,Yes,5,4,5,5,I already have a Copilot License,I should be focused on the rules of making prompts and I should select the right mode for obtaining the right output.,5,5,5.333333333333333,5.666666666666667,5.333333333333333,5,6,1,Finance,45-54
15,2026-05-20T16:02:25Z,2026-05-20T16:10:28Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,No,All the time,Never,No,7 - Strongly agree,5 - Somewhat agree,35-44,Female,4,4,4,4,6,6,6,6,6,6,6,6,4,6,5,4,4,5 - Somewhat agree,No,Yes,6,1,6,5,Yes,I am now intrigued. Before this workshop I didnt know anything about Copilot so i will be looking forward to trying it.,5,4,6,6,5.333333333333333,5.5,4,1,Sales,35-44
16,2026-05-20T16:00:16Z,2026-05-20T16:11:08Z,anonymous,NA,"Yes, I agree",IT,Employee,3-7 Years,Yes,All the time,Often,No,7 - Strongly agree,7 - Strongly agree,35-44,Female,4,5,2,6,7,7,7,7,7,7,6,6,6,5,6,7,6,5 - Somewhat agree,No,Yes,6,1,5,6,I already have a Copilot License,"Yes, I started asking it to ask me questions.",5,4.25,7,7,6,5.5,6.5,1,IT,35-44
17,2026-05-20T16:00:23Z,2026-05-20T16:11:34Z,anonymous,NA,"Yes, I agree",Marketing,Specialist,0-2 Years,Yes,Sometimes,Sometimes,No,6 - Agree,5 - Somewhat agree,25-34,Female,6,6,5,6,7,6,6,6,7,6,6,7,7,5,6,7,6,5 - Somewhat agree,Yes,Yes,7,3,7,7,Yes,"I new it was broad, but not this broad and skilled. So I would love to check out what else it can do to help me with my daily tasks",5,5.75,6.333333333333333,6.333333333333333,6.666666666666667,5.5,6.5,1,Other,Under 35
18,2026-05-20T16:03:11Z,2026-05-20T16:11:36Z,anonymous,NA,"Yes, I agree",Leadership,Manager,7+ Years,Not sure,Often,Never,No,7 - Strongly agree,6 - Agree,45-54,Male,4,4,4,4,6,6,7,6,6,6,3,4,4,6,6,6,6,5 - Somewhat agree,No,Yes,5,2,6,6,Yes,More about Ai and putting sensitive info other there... also a bit concerned not that Ai can access personal info 😯,5,4,6.333333333333333,6,3.6666666666666665,6,6,1,Other,45-54
19,2026-05-20T16:05:10Z,2026-05-20T16:15:02Z,anonymous,NA,"Yes, I agree",Finance,Manager,7+ Years,Yes,Often,Never,No,7 - Strongly agree,4 - Neither agree nor disagree,55+,Female,6,6,5,6,6,6,6,6,6,6,5,6,6,6,6,5,6,5 - Somewhat agree,Yes,Yes,6,6,6,6,Yes,"I changed how I think by intentionally providing more context, clarity, and constraints in my prompts.  It can save me so much time by allowing me to accomplish tasks much faster.",5,5.75,6,6,5.666666666666667,6,5.5,1,Finance,55+
20,2026-05-20T16:10:35Z,2026-05-20T16:16:16Z,anonymous,NA,"Yes, I agree",Supply Chain,Specialist,7+ Years,Not sure,Sometimes,Never,No,5 - Somewhat agree,6 - Agree,35-44,Female,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5 - Somewhat agree,Yes,Yes,5,5,5,6,No,NA,5,5,5,5,5,4,5,1,Other,35-44
21,2026-05-20T16:14:00Z,2026-05-20T16:19:42Z,anonymous,NA,"Yes, I agree",HR,Manager,7+ Years,Yes,Never,All the time,No,7 - Strongly agree,2 - Disagree,45-54,Female,6,6,6,6,7,7,7,6,7,7,6,6,6,6,6,6,6,5 - Somewhat agree,Yes,Yes,6,6,6,6,Yes,"I didn't know there is a licensed version of Copilot available that is also accessible in other MS applications like Word, PowerPoint en Excel.",5,6,7,6.666666666666667,6,6,6,1,Other,45-54
22,2026-05-20T16:00:19Z,2026-05-20T16:22:07Z,anonymous,NA,"Yes, I agree",Finance,Manager,7+ Years,No,Sometimes,Never,No,6 - Agree,2 - Disagree,55+,Female,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5 - Somewhat agree,Yes,Yes,5,2,5,5,Yes,Scope of how it can be used,5,6,6,6,5,5,5,1,Finance,55+
23,2026-05-20T16:27:26Z,2026-05-20T16:33:31Z,anonymous,NA,"Yes, I agree",Sales,Manager,7+ Years,Not sure,Often,Often,No,7 - Strongly agree,3 - Somewhat disagree,55+,Male,7,7,5,6,7,7,7,7,7,7,7,7,7,4,6,6,6,5 - Somewhat agree,Yes,Yes,6,6,6,6,Yes,NA,5,6.25,7,7,7,5,6,1,Sales,55+
24,2026-05-20T16:01:46Z,2026-05-20T16:38:41Z,anonymous,NA,"Yes, I agree",Finance,Manager,3-7 Years,Yes,Often,Often,Yes,6 - Agree,3 - Somewhat disagree,35-44,Female,6,6,5,6,6,6,6,6,5,5,6,6,6,7,7,6,4,5 - Somewhat agree,Yes,Yes,6,2,6,5,Yes,I see improvement based on my experience in the past with copilot especially in reliability and useful source outcome output.,5,5.75,6,5.333333333333333,6,7,5,1,Finance,35-44
25,2026-05-20T16:04:47Z,2026-05-20T16:45:16Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,No,Often,Often,No,6 - Agree,6 - Agree,25-34,Female,3,3,3,3,5,5,6,5,5,5,6,6,6,4,4,5,6,5 - Somewhat agree,No,Yes,6,2,6,4,Yes,NA,5,3,5.333333333333333,5,6,4,5.5,1,Sales,Under 35
26,2026-05-20T16:21:10Z,2026-05-20T16:46:57Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Yes,Sometimes,Never,Yes,7 - Strongly agree,6 - Agree,35-44,Female,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,5 - Somewhat agree,No,Yes,5,3,5,3,Yes,There was more options/varients than i realised to copilot. for example web/local different veriosn & im little confused over using it. Would definitely appreciate further training if available.,5,4,4.333333333333333,4,4,4,4.5,1,Sales,35-44
27,2026-05-20T17:10:37Z,2026-05-20T17:15:42Z,anonymous,NA,"Yes, I agree",Sales,Employee,3-7 Years,Yes,Sometimes,Never,No,6 - Agree,6 - Agree,45-54,Female,5,5,5,3,4,5,5,5,5,5,4,4,4,4,4,3,4,5 - Somewhat agree,Yes,Yes,5,1,5,2,Yes,It was very confusing and I would have a lot of questions before I used it,5,4.5,4.666666666666667,5,4,4,3.5,1,Sales,45-54
28,2026-05-20T17:10:27Z,2026-05-20T17:19:00Z,anonymous,NA,"Yes, I agree",Sales,Employee,7+ Years,Not sure,Often,Never,No,6 - Agree,6 - Agree,25-34,Female,5,5,4,5,5,6,6,6,6,6,5,6,6,5,5,4,6,5 - Somewhat agree,Yes,Yes,6,4,6,6,Yes,Keeping company data private,5,4.75,5.666666666666667,6,5.666666666666667,5,5,1,Sales,Under 35
29,2026-05-20T20:56:07Z,2026-05-20T21:00:22Z,anonymous,NA,"Yes, I agree",Supply Chain,Specialist,0-2 Years,Yes,Often,Never,No,5 - Somewhat agree,5 - Somewhat agree,45-54,Male,5,5,5,6,6,6,6,5,5,5,5,5,6,4,4,6,6,5 - Somewhat agree,Yes,Yes,6,4,5,5,Yes,NA,5,5.25,6,5,5.333333333333333,4,6,1,Other,45-54
30,2026-05-21T06:39:09Z,2026-05-21T06:51:03Z,anonymous,NA,"Yes, I agree",IT,Employee,7+ Years,Yes,Often,Often,Yes,6 - Agree,6 - Agree,55+,Male,6,5,5,5,5,6,6,6,5,5,6,6,6,5,6,6,5,5 - Somewhat agree,Yes,Yes,5,2,6,6,I already have a Copilot License,NA,5,5.25,5.666666666666667,5.333333333333333,6,5.5,5.5,1,IT,55+
31,2026-05-21T09:15:32Z,2026-05-21T09:23:21Z,anonymous,NA,"Yes, I agree",Sales / Account Support / Finance,Employee,3-7 Years,No,Often,Never,No,7 - Strongly agree,6 - Agree,25-34,Male,4,4,4,4,3,3,3,6,7,7,6,6,7,5,5,6,7,5 - Somewhat agree,No,Yes,6,1,6,7,No,Learned that everything that is entered into the free version is used to improve the Ai itself. it is very important to have the correct prompt to avoid the Ai to make assumptions,5,4,3,6.666666666666667,6.333333333333333,5,6.5,1,Sales,Under 35
32,2026-05-21T10:30:26Z,2026-05-21T10:36:25Z,anonymous,NA,"Yes, I agree",IT,Specialist,0-2 Years,Yes,Never,All the time,Yes,5 - Somewhat agree,6 - Agree,35-44,Female,5,5,5,5,7,6,6,5,4,5,5,5,5,5,5,6,5,5 - Somewhat agree,Yes,Yes,5,4,6,6,I already have a Copilot License,"More aware to create better, clearer prompts",5,5,6.333333333333333,4.666666666666667,5,5,5.5,1,IT,35-44
34,2026-05-22T14:28:25Z,2026-05-22T15:08:05Z,anonymous,NA,"Yes, I agree",ikam,Employee,0-2 Years,Yes,Often,Sometimes,No,4 - Neither agree nor disagree,5 - Somewhat agree,45-54,Female,4,3,4,6,5,5,6,6,6,6,5,5,6,4,6,6,3,5 - Somewhat agree,No,Yes,2,2,5,5,I already have a Copilot License,"i learned that i must prompt better, but i feel chat gpt gets all sorts of prompts",5,4.25,5.333333333333333,6,5.333333333333333,5,4.5,1,Sales,45-54
35,2026-05-26T08:52:21Z,2026-05-26T09:29:57Z,anonymous,NA,"Yes, I agree",IT,Manager,3-7 Years,Yes,Sometimes,Sometimes,Yes,6 - Agree,6 - Agree,55+,Male,6,5,4,5,6,6,5,5,6,5,6,6,5,4,4,6,6,5 - Somewhat agree,Yes,Yes,5,5,6,5,I already have a Copilot License,Learned that prompting can offer a lot more...,5,5,5.666666666666667,5.333333333333333,5.666666666666667,4,6,1,IT,55+
